hora,Suma de cantidad_facturas,Dia_semana
09:30,1,4
09:30,1,5
09:30,9,6
09:30,2,7
10:00,11,1
10:00,5,2
10:00,13,3
10:00,14,4
10:00,10,5
10:00,35,6
10:00,10,7
10:30,18,1
10:30,27,2
10:30,26,3
10:30,36,4
10:30,32,5
10:30,41,6
10:30,36,7
11:00,23,1
11:00,35,2
11:00,43,3
11:00,47,4
11:00,47,5
11:00,59,6
11:00,43,7
11:30,37,1
11:30,46,2
11:30,31,3
11:30,39,4
11:30,41,5
11:30,89,6
11:30,56,7
12:00,36,1
12:00,28,2
12:00,36,3
12:00,41,4
12:00,57,5
12:00,76,6
12:00,48,7
12:30,33,1
12:30,34,2
12:30,36,3
12:30,39,4
12:30,37,5
12:30,74,6
12:30,57,7
13:00,28,1
13:00,33,2
13:00,29,3
13:00,35,4
13:00,41,5
13:00,68,6
13:00,46,7
13:30,27,1
13:30,29,2
13:30,22,3
13:30,31,4
13:30,47,5
13:30,71,6
13:30,57,7
14:00,18,1
14:00,23,2
14:00,33,3
14:00,27,4
14:00,37,5
14:00,52,6
14:00,51,7
14:30,20,1
14:30,31,2
14:30,40,3
14:30,33,4
14:30,62,5
14:30,69,6
14:30,87,7
15:00,40,1
15:00,38,2
15:00,48,3
15:00,49,4
15:00,64,5
15:00,69,6
15:00,65,7
15:30,49,1
15:30,32,2
15:30,44,3
15:30,52,4
15:30,55,5
15:30,98,6
15:30,94,7
16:00,57,1
16:00,56,2
16:00,48,3
16:00,60,4
16:00,78,5
16:00,107,6
16:00,106,7
16:30,46,1
16:30,48,2
16:30,52,3
16:30,52,4
16:30,79,5
16:30,97,6
16:30,105,7
17:00,51,1
17:00,62,2
17:00,78,3
17:00,62,4
17:00,92,5
17:00,117,6
17:00,98,7
17:30,56,1
17:30,54,2
17:30,74,3
17:30,72,4
17:30,86,5
17:30,127,6
17:30,94,7
18:00,50,1
18:00,61,2
18:00,52,3
18:00,53,4
18:00,105,5
18:00,136,6
18:00,98,7
18:30,62,1
18:30,56,2
18:30,67,3
18:30,70,4
18:30,81,5
18:30,120,6
18:30,106,7
19:00,61,1
19:00,60,2
19:00,57,3
19:00,75,4
19:00,85,5
19:00,118,6
19:00,80,7
19:30,56,1
19:30,49,2
19:30,52,3
19:30,66,4
19:30,77,5
19:30,77,6
19:30,90,7
20:00,36,1
20:00,50,2
20:00,53,3
20:00,61,4
20:00,76,5
20:00,80,6
20:00,59,7
20:30,38,1
20:30,32,2
20:30,52,3
20:30,31,4
20:30,45,5
20:30,53,6
20:30,43,7
21:00,7,1
21:00,15,2
21:00,18,3
21:00,11,4
21:00,28,5
21:00,52,6
21:00,4,7
21:30,6,5
21:30,24,6
21:30,2,7
22:00,6,6
