hora,Suma de cantidad_facturas,Dia_semana
09:00,6,1
09:00,11,2
09:00,2,3
09:00,5,4
09:00,5,5
09:00,1,6
09:30,2,1
09:30,9,2
09:30,5,3
09:30,4,4
09:30,7,5
09:30,3,6
09:30,7,7
10:00,6,1
10:00,2,2
10:00,3,3
10:00,8,4
10:00,2,5
10:00,6,6
10:00,8,7
10:30,3,1
10:30,10,2
10:30,6,3
10:30,8,4
10:30,12,5
10:30,14,6
10:30,4,7
11:00,8,1
11:00,10,2
11:00,12,3
11:00,11,4
11:00,15,5
11:00,8,6
11:00,9,7
11:30,4,1
11:30,5,2
11:30,6,3
11:30,8,4
11:30,13,5
11:30,30,6
11:30,10,7
12:00,5,1
12:00,4,2
12:00,4,3
12:00,10,4
12:00,11,5
12:00,19,6
12:00,21,7
12:30,12,1
12:30,7,2
12:30,13,3
12:30,11,4
12:30,8,5
12:30,23,6
12:30,18,7
13:00,9,1
13:00,7,2
13:00,6,3
13:00,6,4
13:00,3,5
13:00,14,6
13:00,10,7
13:30,5,1
13:30,10,2
13:30,11,3
13:30,3,4
13:30,5,5
13:30,7,6
13:30,11,7
14:00,7,1
14:00,5,2
14:00,4,3
14:00,11,4
14:00,9,5
14:00,15,6
14:00,8,7
14:30,13,1
14:30,6,2
14:30,7,3
14:30,5,4
14:30,9,5
14:30,10,6
14:30,7,7
15:00,8,1
15:00,3,2
15:00,6,3
15:00,10,4
15:00,11,5
15:00,16,6
15:00,12,7
15:30,7,1
15:30,6,2
15:30,10,3
15:30,10,4
15:30,15,5
15:30,8,6
15:30,19,7
16:00,14,1
16:00,7,2
16:00,8,3
16:00,12,4
16:00,14,5
16:00,12,6
16:00,15,7
16:30,6,1
16:30,10,2
16:30,6,3
16:30,14,4
16:30,12,5
16:30,17,6
16:30,19,7
17:00,13,1
17:00,13,2
17:00,12,3
17:00,18,4
17:00,14,5
17:00,21,6
17:00,20,7
17:30,13,1
17:30,11,2
17:30,19,3
17:30,14,4
17:30,17,5
17:30,21,6
17:30,20,7
18:00,14,1
18:00,21,2
18:00,14,3
18:00,10,4
18:00,13,5
18:00,22,6
18:00,25,7
18:30,9,1
18:30,10,2
18:30,15,3
18:30,17,4
18:30,19,5
18:30,23,6
18:30,16,7
19:00,7,1
19:00,8,2
19:00,21,3
19:00,14,4
19:00,16,5
19:00,13,6
19:00,14,7
19:30,7,1
19:30,10,2
19:30,9,3
19:30,14,4
19:30,10,5
19:30,18,6
19:30,15,7
20:00,11,1
20:00,5,2
20:00,9,3
20:00,10,4
20:00,11,5
20:00,10,6
20:00,14,7
20:30,2,1
20:30,5,2
20:30,9,3
20:30,7,4
20:30,11,5
20:30,17,6
20:30,3,7
21:00,3,2
21:00,3,3
21:00,1,4
21:00,4,5
21:00,5,6
21:00,3,7
21:30,1,6
21:30,1,7
22:00,4,5
22:30,1,5
